iter	Logloss
0	0.6734880836
1	0.6548100845
2	0.6383441785
3	0.6223596255
4	0.6080361791
5	0.5945286185
6	0.581344349
7	0.5689049973
8	0.557429326
9	0.5459341358
10	0.5353491414
11	0.525414512
12	0.5161554778
13	0.5068372527
14	0.4989444006
15	0.4908499687
16	0.4840148541
17	0.4774807338
18	0.4718734455
19	0.4661774868
20	0.4608618071
21	0.4554286011
22	0.4505320894
23	0.4461070438
24	0.4417005785
25	0.4374803381
26	0.4338469116
27	0.4301253177
28	0.4266659158
29	0.4231351811
30	0.4204294212
31	0.4176174345
32	0.414881958
33	0.4126966053
34	0.4101684506
35	0.4077128285
36	0.4056663516
37	0.4037651555
38	0.4016171908
39	0.3997926411
40	0.3980218308
41	0.3961716986
42	0.3945382028
43	0.3930530284
44	0.391776309
45	0.3902589344
46	0.3888327969
47	0.3874609478
48	0.3861831245
49	0.3851409153
50	0.3840367903
51	0.3831271232
52	0.3821579202
53	0.3813270288
54	0.3804093493
55	0.3794960726
56	0.3789012685
57	0.3778882736
58	0.3772120849
59	0.3764074622
60	0.3758630102
61	0.3752374086
62	0.3745672716
63	0.374113713
64	0.3733987549
65	0.3728837885
66	0.3722985359
67	0.3718281252
68	0.3713285593
69	0.3707661461
70	0.3701393271
71	0.3696856598
72	0.3690777826
73	0.3688827852
74	0.368530078
75	0.3680596878
76	0.3674642501
77	0.367008653
78	0.3667694545
79	0.3663627328
80	0.3660020122
81	0.3657401305
82	0.3653572103
83	0.3649925055
84	0.3646201099
85	0.3644485438
86	0.3640891885
87	0.3638679068
88	0.3635306725
89	0.3632354007
90	0.3631422081
91	0.3627862761
92	0.3625245096
93	0.3622932124
94	0.3619626182
95	0.3617201654
96	0.3614887024
97	0.3611397114
98	0.3608958826
99	0.3606443951
100	0.3605887759
101	0.3602997695
102	0.3600192472
103	0.3597985379
104	0.3595576269
105	0.3594139907
106	0.3591773462
107	0.3590047591
108	0.3587080563
109	0.3584333416
110	0.3581795865
111	0.3578677159
112	0.3577971738
113	0.357496483
114	0.3573539613
115	0.357164457
116	0.3568890463
117	0.3566881289
118	0.3564961271
119	0.3563705714
120	0.3560209245
121	0.3558057474
122	0.3555952714
123	0.3555012565
124	0.355302437
125	0.3552004969
126	0.3551114827
127	0.3550053404
128	0.3548564966
129	0.3547942174
130	0.3545155139
131	0.3541990168
132	0.3540579958
133	0.3538220648
134	0.3536387541
135	0.3535184655
136	0.3533377874
137	0.3531787607
138	0.3530253537
139	0.3528909562
140	0.352822277
141	0.3524819292
142	0.352280793
143	0.3522002979
144	0.3520723512
145	0.3519644352
146	0.3517015206
147	0.3515102392
148	0.3512951868
149	0.3511637797
150	0.3509662545
151	0.350791935
152	0.3507356701
153	0.3506830375
154	0.3505944824
155	0.3504507943
156	0.3503319294
157	0.3501617058
158	0.3499505645
159	0.3498230179
160	0.3496501404
161	0.3496397637
162	0.3494500605
163	0.3492973713
164	0.3491652125
165	0.3490697821
166	0.3489984845
167	0.3489096374
168	0.3487760445
169	0.348702892
170	0.3484167984
171	0.3481836225
172	0.348020784
173	0.3479256989
174	0.3478179819
175	0.3477115087
176	0.3475867612
177	0.3475329877
178	0.3474079094
179	0.347389318
180	0.3472725815
181	0.3471383278
182	0.3469262865
183	0.3467033204
184	0.3465728127
185	0.3464895455
186	0.3463956598
187	0.3462681381
188	0.3460829116
189	0.345980288
190	0.3458113375
191	0.3457048518
192	0.3456002034
193	0.3455198954
194	0.3454931573
195	0.3454146047
196	0.3454058313
197	0.3452763525
198	0.3451630991
199	0.345060345
200	0.3449938125
201	0.3449309575
202	0.3448486581
203	0.3447469461
204	0.3447209618
205	0.3445839446
206	0.3444234463
207	0.3442645196
208	0.3441315377
209	0.3440377898
210	0.3439661443
211	0.3438205337
212	0.3436906683
213	0.3435797456
214	0.3434393058
215	0.3433014631
216	0.3431454188
217	0.3430320857
218	0.3429116295
219	0.3429055145
220	0.3427708076
221	0.3425393611
222	0.3424879006
223	0.3423500799
224	0.3421703101
225	0.3421289548
226	0.3420475733
227	0.3420183155
228	0.3419012124
229	0.3418407592
230	0.3417643809
231	0.3416779176
232	0.3415866324
233	0.3415104137
234	0.3413456062
235	0.3411990533
236	0.3411356308
237	0.3410464394
238	0.3409547177
239	0.3408462412
240	0.3406453639
241	0.3405652508
242	0.3405159892
243	0.3404712821
244	0.3402671928
245	0.340211662
246	0.340153685
247	0.3400718686
248	0.3400072276
249	0.3398851578
250	0.3398215531
251	0.3396836921
252	0.339642907
253	0.3395936465
254	0.339376943
255	0.3392375201
256	0.3392053429
257	0.339079502
258	0.3389973206
259	0.3389307738
260	0.338737805
261	0.3386299321
262	0.3385303964
263	0.3384239429
264	0.3383536768
265	0.3383204094
266	0.3382442014
267	0.3381208148
268	0.3380315057
269	0.3379421137
270	0.3377916838
271	0.3376350046
272	0.3375757975
273	0.3374979512
274	0.3374402663
275	0.3373265028
276	0.3371289938
277	0.337012162
278	0.336907537
279	0.3368158498
280	0.336735688
281	0.3366213852
282	0.3364678813
283	0.3363307054
284	0.3362077147
285	0.3359783033
286	0.3358402341
287	0.335761346
288	0.335679192
289	0.335632565
290	0.3355305709
291	0.3354559772
292	0.3352993871
293	0.3352335713
294	0.3351447732
295	0.3350988303
296	0.3350240628
297	0.3348835738
298	0.3348358936
299	0.3347804145
300	0.3346873148
301	0.3346134065
302	0.3344270116
303	0.3343374656
304	0.3342248242
305	0.334160189
306	0.3339978566
307	0.3339443593
308	0.333831563
309	0.3337414316
310	0.3335311196
311	0.3334184177
312	0.3333049163
313	0.3332099784
314	0.3331097671
315	0.3329666935
316	0.332903345
317	0.3327876088
318	0.3327053855
319	0.3326259231
320	0.3325723755
321	0.3324425796
322	0.3323752966
323	0.3322514458
324	0.3322400393
325	0.3321664589
326	0.3320667333
327	0.3319677446
328	0.3318998181
329	0.3318310718
330	0.3317636656
331	0.3317306829
332	0.3316421642
333	0.3315524467
334	0.3314118713
335	0.3313384028
336	0.3312339276
337	0.3311644849
338	0.3310437459
339	0.3308817887
340	0.33080276
341	0.3306950492
342	0.3305866954
343	0.3305326165
344	0.3303935907
345	0.3302755837
346	0.3301671829
347	0.3300498299
348	0.3299162846
349	0.3298085114
350	0.3297079844
351	0.3296367103
352	0.329564965
353	0.329500979
354	0.3293110349
355	0.3291952814
356	0.3291269343
357	0.3290017709
358	0.32892034
359	0.3288261522
360	0.3287518846
361	0.3286835961
362	0.3285926724
363	0.3285284004
364	0.3283881611
365	0.3283095541
366	0.3282183628
367	0.3280594871
368	0.3279873588
369	0.3279535804
370	0.3278458068
371	0.3277024848
372	0.3276454954
373	0.3275691403
374	0.3275265901
375	0.3274811105
376	0.3273833684
377	0.3272356488
378	0.3271051876
379	0.3269617601
380	0.3268696768
381	0.3267382645
382	0.3266769021
383	0.3266194793
384	0.3265443362
385	0.3264453484
386	0.326401994
387	0.3263367628
388	0.3262436019
389	0.3261330019
390	0.3260849258
391	0.3259513496
392	0.3259209802
393	0.3257960272
394	0.325749542
395	0.3257435447
396	0.3256163807
397	0.325555708
398	0.3254398646
399	0.325380545
400	0.3253251043
401	0.3252923074
402	0.3252754753
403	0.3252088384
404	0.3251864869
405	0.3250936005
406	0.3250450748
407	0.3249989158
408	0.3249275133
409	0.3248924056
410	0.3248231003
411	0.324818634
412	0.3247217637
413	0.3246393867
414	0.3244137871
415	0.3242673784
416	0.3241263897
417	0.3239206121
418	0.3238187512
419	0.3236948883
420	0.3236109824
421	0.323540407
422	0.3234244831
423	0.32336564
424	0.3233153793
425	0.3231960312
426	0.3231331934
427	0.3230967354
428	0.3230346724
429	0.3229287761
