iter	Passed	Remaining
0	5	5410
1	12	6171
2	17	5821
3	22	5724
4	28	5753
5	34	5783
6	41	5915
7	47	5829
8	52	5741
9	58	5823
10	63	5753
11	68	5673
12	76	5787
13	81	5727
14	86	5678
15	93	5730
16	98	5676
17	103	5626
18	110	5685
19	115	5645
20	120	5600
21	127	5647
22	132	5609
23	137	5572
24	144	5642
25	149	5602
26	156	5626
27	161	5606
28	166	5573
29	172	5584
30	178	5572
31	183	5541
32	189	5557
33	195	5541
34	200	5515
35	206	5525
36	211	5506
37	216	5481
38	222	5489
39	227	5470
40	232	5447
41	239	5464
42	244	5452
43	249	5430
44	256	5449
45	261	5431
46	266	5412
47	273	5432
48	279	5417
49	284	5400
50	291	5433
51	296	5413
52	302	5411
53	308	5400
54	313	5383
55	319	5385
56	326	5394
57	333	5414
58	340	5423
59	345	5405
60	350	5390
61	356	5396
62	362	5388
63	370	5413
64	375	5399
65	380	5382
66	386	5377
67	391	5367
68	396	5351
69	402	5346
70	407	5335
71	412	5319
72	418	5318
73	424	5308
74	429	5292
75	435	5289
76	440	5281
77	445	5269
78	452	5269
79	457	5259
80	462	5245
81	468	5243
82	473	5233
83	478	5219
84	485	5221
85	490	5212
86	495	5202
87	502	5206
88	507	5194
89	512	5181
90	518	5182
91	523	5170
92	528	5158
93	535	5157
94	540	5145
95	545	5132
96	550	5129
97	556	5118
98	561	5107
99	567	5107
100	572	5096
101	577	5083
102	583	5082
103	588	5073
104	593	5061
105	599	5057
106	604	5049
107	609	5037
108	616	5036
109	621	5028
110	626	5017
111	632	5015
112	637	5007
113	643	5001
114	649	4996
115	654	4987
116	659	4975
117	664	4968
118	669	4958
119	674	4948
120	679	4938
121	684	4928
122	689	4918
123	694	4908
124	700	4902
125	705	4892
126	710	4882
127	715	4875
128	720	4865
129	725	4855
130	730	4846
131	735	4838
132	740	4828
133	747	4829
134	755	4838
135	762	4841
136	768	4839
137	773	4834
138	780	4833
139	786	4830
140	791	4821
141	796	4812
142	801	4803
143	806	4793
144	811	4785
145	816	4776
146	824	4784
147	830	4779
148	835	4770
149	840	4762
150	845	4756
151	851	4750
152	857	4748
153	863	4743
154	868	4734
155	873	4725
156	878	4717
157	883	4709
158	888	4700
159	894	4693
160	898	4684
161	903	4676
162	909	4667
163	914	4659
164	919	4650
165	923	4642
166	929	4635
167	934	4628
168	939	4619
169	946	4619
170	951	4611
171	956	4602
172	961	4594
173	966	4586
174	971	4578
175	976	4571
176	981	4563
177	986	4554
178	991	4546
179	996	4539
180	1001	4532
181	1006	4525
182	1011	4517
183	1016	4509
184	1021	4502
185	1027	4494
186	1033	4494
187	1038	4486
188	1044	4483
189	1052	4486
190	1060	4490
191	1069	4500
192	1077	4503
193	1083	4501
194	1089	4497
195	1094	4489
196	1099	4481
197	1104	4473
198	1109	4465
199	1114	4457
200	1119	4450
201	1124	4443
202	1129	4435
203	1134	4428
204	1139	4420
205	1145	4413
206	1150	4407
207	1155	4399
208	1160	4392
209	1165	4384
210	1170	4377
211	1175	4369
212	1180	4362
213	1185	4354
214	1190	4347
215	1195	4340
216	1200	4332
217	1205	4325
218	1210	4318
219	1215	4310
220	1220	4303
221	1226	4296
222	1230	4288
223	1235	4281
224	1240	4274
225	1246	4267
226	1251	4260
227	1256	4253
228	1261	4246
229	1266	4239
230	1271	4234
231	1277	4227
232	1282	4220
233	1286	4212
234	1292	4206
235	1297	4199
236	1302	4191
237	1307	4184
238	1312	4177
239	1319	4178
240	1326	4176
241	1331	4170
242	1336	4162
243	1341	4156
244	1346	4149
245	1352	4146
246	1358	4141
247	1363	4134
248	1368	4128
249	1373	4121
250	1378	4114
251	1383	4107
252	1389	4102
253	1394	4095
254	1399	4088
255	1404	4082
256	1409	4075
257	1414	4068
258	1419	4061
259	1425	4056
260	1430	4050
261	1435	4043
262	1441	4040
263	1446	4033
264	1451	4027
265	1458	4024
266	1463	4018
267	1468	4011
268	1475	4009
269	1480	4002
270	1485	3995
271	1492	3994
272	1497	3987
273	1502	3981
274	1509	3978
275	1514	3971
276	1519	3965
277	1526	3963
278	1531	3956
279	1536	3951
280	1543	3948
281	1548	3942
282	1555	3941
283	1561	3935
284	1566	3928
285	1572	3925
286	1578	3920
287	1583	3914
288	1589	3911
289	1594	3904
290	1599	3898
291	1607	3897
292	1612	3891
293	1617	3884
294	1624	3882
295	1629	3875
296	1634	3869
297	1641	3865
298	1646	3859
299	1651	3852
300	1658	3852
301	1663	3845
302	1669	3840
303	1675	3835
304	1680	3828
305	1686	3824
306	1691	3818
307	1696	3811
308	1702	3808
309	1708	3803
310	1713	3796
311	1719	3792
312	1725	3786
313	1730	3779
314	1736	3775
315	1741	3769
316	1746	3763
317	1752	3758
318	1758	3753
319	1763	3746
320	1768	3741
321	1774	3736
322	1779	3730
323	1785	3725
324	1791	3719
325	1795	3713
326	1802	3709
327	1808	3704
328	1816	3703
329	1822	3701
330	1827	3694
331	1834	3690
332	1839	3684
333	1844	3677
334	1850	3673
335	1856	3667
336	1861	3661
337	1868	3659
338	1873	3652
339	1878	3646
340	1884	3642
341	1889	3636
342	1894	3629
343	1901	3626
344	1906	3619
345	1911	3613
346	1918	3610
347	1923	3603
348	1929	3598
349	1936	3596
350	1941	3590
351	1946	3583
352	1953	3580
353	1958	3574
354	1963	3568
355	1969	3563
356	1974	3557
357	1980	3550
358	1986	3546
359	1991	3540
360	1996	3534
361	2002	3529
362	2007	3523
363	2013	3517
364	2019	3512
365	2025	3508
366	2031	3504
367	2037	3498
368	2042	3492
369	2048	3488
370	2054	3482
371	2059	3476
372	2065	3472
373	2070	3466
374	2075	3459
375	2081	3455
376	2087	3448
377	2092	3442
378	2099	3439
379	2104	3433
380	2109	3426
381	2116	3423
382	2121	3417
383	2126	3410
384	2133	3408
385	2138	3402
386	2143	3395
387	2150	3391
388	2155	3385
389	2160	3378
390	2167	3375
391	2172	3368
392	2177	3363
393	2183	3358
394	2188	3352
395	2193	3346
396	2200	3341
397	2205	3335
398	2210	3329
399	2216	3324
400	2221	3318
401	2226	3312
402	2232	3307
403	2237	3301
404	2243	3295
405	2248	3290
406	2253	3283
407	2258	3277
408	2265	3273
409	2270	3267
410	2275	3261
411	2281	3256
412	2286	3250
413	2291	3244
414	2298	3239
415	2306	3238
416	2313	3235
417	2319	3228
418	2323	3222
419	2330	3218
420	2335	3212
421	2341	3207
422	2347	3202
423	2352	3196
424	2358	3190
425	2364	3185
426	2369	3179
427	2374	3173
428	2380	3168
429	2385	3161
430	2390	3155
431	2396	3150
432	2401	3144
433	2406	3138
434	2412	3133
435	2417	3127
436	2422	3121
437	2429	3117
438	2434	3110
439	2439	3104
440	2446	3100
441	2451	3094
442	2455	3087
443	2462	3083
444	2467	3077
445	2472	3070
446	2478	3066
447	2483	3060
448	2488	3054
449	2495	3049
450	2500	3043
451	2505	3037
452	2511	3033
453	2517	3027
454	2523	3022
455	2528	3016
456	2533	3010
457	2538	3004
458	2544	2999
459	2549	2993
460	2555	2987
461	2561	2982
462	2566	2976
463	2571	2970
464	2578	2966
465	2583	2960
466	2589	2954
467	2594	2949
468	2599	2943
469	2605	2937
470	2611	2932
471	2615	2926
472	2621	2920
473	2627	2915
474	2632	2909
475	2637	2903
476	2643	2898
477	2648	2892
478	2654	2887
479	2660	2881
480	2665	2875
481	2670	2869
482	2676	2864
483	2681	2858
484	2686	2853
485	2692	2847
486	2697	2841
487	2703	2836
488	2709	2831
489	2714	2825
490	2720	2819
491	2725	2814
492	2730	2808
493	2736	2802
494	2742	2798
495	2748	2792
496	2753	2787
497	2759	2781
498	2764	2775
499	2770	2770
500	2776	2765
501	2781	2758
502	2786	2753
503	2792	2747
504	2800	2744
505	2807	2741
506	2812	2735
507	2818	2729
508	2824	2724
509	2829	2718
510	2835	2713
511	2843	2709
512	2848	2703
513	2855	2699
514	2860	2693
515	2865	2687
516	2871	2682
517	2876	2676
518	2881	2670
519	2888	2665
520	2893	2659
521	2898	2653
522	2904	2649
523	2909	2643
524	2915	2637
525	2922	2633
526	2927	2627
527	2932	2621
528	2938	2616
529	2944	2611
530	2950	2605
531	2956	2600
532	2960	2594
533	2966	2588
534	2972	2583
535	2977	2577
536	2983	2572
537	2991	2568
538	2996	2562
539	3002	2557
540	3007	2551
541	3012	2545
542	3021	2542
543	3026	2537
544	3032	2531
545	3038	2526
546	3043	2520
547	3048	2514
548	3054	2509
549	3059	2503
550	3064	2497
551	3070	2492
552	3075	2486
553	3081	2480
554	3087	2475
555	3092	2469
556	3097	2463
557	3104	2458
558	3109	2452
559	3115	2447
560	3120	2442
561	3125	2436
562	3131	2430
563	3137	2425
564	3142	2419
565	3148	2413
566	3153	2408
567	3158	2402
568	3164	2396
569	3169	2391
570	3174	2385
571	3180	2379
572	3186	2374
573	3191	2368
574	3196	2362
575	3202	2357
576	3207	2351
577	3212	2345
578	3218	2340
579	3223	2334
580	3229	2329
581	3235	2323
582	3240	2317
583	3245	2311
584	3251	2306
585	3256	2300
586	3262	2295
587	3267	2289
588	3272	2283
589	3278	2278
590	3284	2273
591	3292	2269
592	3299	2264
593	3304	2258
594	3309	2252
595	3316	2247
596	3321	2242
597	3328	2237
598	3334	2232
599	3339	2226
600	3345	2221
601	3351	2215
602	3356	2209
603	3362	2204
604	3367	2198
605	3373	2193
606	3379	2188
607	3384	2182
608	3389	2176
609	3395	2171
610	3401	2165
611	3406	2159
612	3412	2154
613	3417	2148
614	3422	2142
615	3428	2137
616	3434	2131
617	3438	2125
618	3445	2120
619	3450	2114
620	3455	2108
621	3461	2103
622	3466	2097
623	3471	2091
624	3477	2086
625	3483	2080
626	3488	2075
627	3494	2069
628	3499	2064
629	3504	2058
630	3510	2052
631	3515	2047
632	3520	2041
633	3527	2036
634	3532	2030
635	3537	2024
636	3543	2019
637	3549	2013
638	3554	2007
639	3561	2003
640	3568	1998
641	3574	1993
642	3580	1987
643	3585	1981
644	3591	1976
645	3596	1970
646	3601	1965
647	3608	1960
648	3613	1954
649	3618	1948
650	3624	1943
651	3630	1937
652	3635	1931
653	3641	1926
654	3647	1921
655	3652	1915
656	3658	1909
657	3663	1904
658	3669	1898
659	3675	1893
660	3681	1887
661	3686	1882
662	3692	1876
663	3699	1871
664	3707	1867
665	3713	1862
666	3718	1856
667	3724	1851
668	3729	1845
669	3735	1839
670	3741	1834
671	3748	1829
672	3756	1825
673	3762	1819
674	3767	1813
675	3773	1808
676	3780	1803
677	3786	1798
678	3793	1793
679	3798	1787
680	3803	1781
681	3810	1776
682	3815	1770
683	3821	1765
684	3827	1759
685	3832	1754
686	3838	1748
687	3844	1743
688	3849	1737
689	3856	1732
690	3863	1727
691	3872	1723
692	3877	1717
693	3882	1712
694	3888	1706
695	3894	1700
696	3899	1694
697	3905	1689
698	3910	1683
699	3915	1677
700	3920	1672
701	3925	1666
702	3930	1660
703	3935	1654
704	3940	1648
705	3945	1643
706	3950	1637
707	3955	1631
708	3960	1625
709	3965	1619
710	3970	1614
711	3975	1608
712	3980	1602
713	3985	1596
714	3990	1590
715	3995	1584
716	4000	1578
717	4005	1573
718	4011	1567
719	4018	1562
720	4023	1556
721	4028	1551
722	4033	1545
723	4038	1539
724	4043	1533
725	4048	1527
726	4053	1522
727	4058	1516
728	4063	1510
729	4068	1504
730	4073	1499
731	4078	1493
732	4083	1487
733	4088	1481
734	4093	1475
735	4098	1470
736	4103	1464
737	4108	1458
738	4113	1452
739	4118	1447
740	4123	1441
741	4128	1435
742	4133	1429
743	4139	1424
744	4144	1418
745	4149	1412
746	4154	1406
747	4159	1401
748	4164	1395
749	4169	1389
750	4174	1384
751	4179	1378
752	4184	1372
753	4189	1366
754	4194	1361
755	4199	1355
756	4204	1349
757	4209	1343
758	4214	1338
759	4219	1332
760	4224	1326
761	4229	1320
762	4234	1315
763	4239	1309
764	4244	1303
765	4249	1298
766	4254	1292
767	4259	1286
768	4264	1281
769	4269	1275
770	4277	1270
771	4283	1265
772	4288	1259
773	4294	1253
774	4299	1248
775	4304	1242
776	4311	1237
777	4316	1231
778	4321	1225
779	4326	1220
780	4332	1214
781	4337	1209
782	4342	1203
783	4347	1197
784	4353	1192
785	4358	1186
786	4363	1180
787	4368	1175
788	4373	1169
789	4378	1163
790	4383	1158
791	4388	1152
792	4393	1146
793	4398	1141
794	4403	1135
795	4408	1129
796	4413	1124
797	4418	1118
798	4423	1112
799	4428	1107
800	4433	1101
801	4438	1095
802	4443	1090
803	4448	1084
804	4454	1078
805	4459	1073
806	4464	1067
807	4469	1061
808	4473	1056
809	4478	1050
810	4483	1044
811	4488	1039
812	4493	1033
813	4499	1028
814	4504	1022
815	4509	1016
816	4514	1011
817	4519	1005
818	4524	999
819	4529	994
820	4534	988
821	4539	982
822	4544	977
823	4549	971
824	4554	966
825	4559	960
826	4564	954
827	4569	949
828	4574	943
829	4579	937
830	4584	932
831	4589	926
832	4594	921
833	4599	915
834	4604	909
835	4609	904
836	4614	898
837	4619	893
838	4624	887
839	4629	881
840	4634	876
841	4639	870
842	4645	865
843	4650	859
844	4655	853
845	4659	848
846	4664	842
847	4669	837
848	4674	831
849	4679	825
850	4684	820
851	4689	814
852	4694	809
853	4699	803
854	4705	797
855	4710	792
856	4715	786
857	4720	781
858	4725	775
859	4730	770
860	4735	764
861	4740	758
862	4746	753
863	4750	747
864	4756	742
865	4761	736
866	4766	731
867	4774	726
868	4780	720
869	4785	715
870	4790	709
871	4796	704
872	4801	698
873	4806	692
874	4811	687
875	4816	681
876	4821	676
877	4826	670
878	4832	665
879	4837	659
880	4842	654
881	4847	648
882	4852	643
883	4858	637
884	4863	631
885	4868	626
886	4873	620
887	4878	615
888	4883	609
889	4888	604
890	4895	598
891	4900	593
892	4905	587
893	4910	582
894	4915	576
895	4920	571
896	4925	565
897	4931	560
898	4936	554
899	4941	549
900	4947	543
901	4952	538
902	4957	532
903	4962	527
904	4967	521
905	4973	515
906	4978	510
907	4983	504
908	4988	499
909	4994	493
910	4999	488
911	5004	482
912	5011	477
913	5016	472
914	5022	466
915	5029	461
916	5036	455
917	5042	450
918	5047	444
919	5052	439
920	5057	433
921	5062	428
922	5068	422
923	5073	417
924	5078	411
925	5084	406
926	5089	400
927	5095	395
928	5100	389
929	5105	384
930	5111	378
931	5116	373
932	5121	367
933	5126	362
934	5131	356
935	5136	351
936	5142	345
937	5147	340
938	5152	334
939	5157	329
940	5162	323
941	5167	318
942	5172	312
943	5177	307
944	5182	301
945	5187	296
946	5192	290
947	5197	285
948	5202	279
949	5207	274
950	5212	268
951	5217	263
952	5222	257
953	5227	252
954	5232	246
955	5237	241
956	5242	235
957	5247	230
958	5252	224
959	5258	219
960	5266	213
961	5273	208
962	5278	202
963	5283	197
964	5288	191
965	5293	186
966	5298	180
967	5304	175
968	5310	169
969	5315	164
970	5320	158
971	5325	153
972	5330	147
973	5335	142
974	5340	136
975	5345	131
976	5350	125
977	5355	120
978	5361	114
979	5366	109
980	5371	104
981	5376	98
982	5381	93
983	5386	87
984	5391	82
985	5396	76
986	5401	71
987	5406	65
988	5411	60
989	5416	54
990	5421	49
991	5426	43
992	5431	38
993	5436	32
994	5441	27
995	5447	21
996	5452	16
997	5457	10
998	5463	5
999	5468	0
