,origDate,origIntRate,origUPB,origLTV,origCLTV,origDebtIncRatio,WorstCreditScore,zipCode,fmacRate,fredRate,rateDiff,stateCat
0,2019-02-01,4.625,160000,80,80,34,752,462,4.46,2.7,0.16500000000000006,16
1,2019-02-01,4.5,510000,64,64,40,767,913,4.46,2.7,0.040000000000000036,4
2,2019-02-01,4.75,143000,68,68,16,674,286,4.46,2.7,0.29000000000000004,28
3,2019-02-01,4.5,160000,17,17,43,738,920,4.46,2.7,0.040000000000000036,4
4,2019-02-01,4.5,320000,74,74,26,697,707,4.46,2.7,0.040000000000000036,19
5,2019-02-01,5.875,348000,80,80,29,681,852,4.46,2.7,1.415,3
6,2019-02-01,4.75,187000,53,53,31,730,953,4.46,2.7,0.29000000000000004,4
7,2019-02-01,4.625,188000,80,80,48,705,288,4.46,2.7,0.16500000000000006,28
8,2019-02-01,4.375,285000,64,64,45,692,945,4.46,2.7,-0.08499999999999996,4
9,2019-02-01,4.5,425000,85,85,37,776,276,4.46,2.7,0.040000000000000036,28
10,2019-02-01,4.5,175000,60,60,43,732,300,4.46,2.7,0.040000000000000036,10
11,2019-02-01,5.0,169000,48,48,31,672,67,4.46,2.7,0.54,6
12,2019-02-01,4.375,389000,71,71,39,766,956,4.46,2.7,-0.08499999999999996,4
13,2019-02-01,4.875,172000,77,77,32,711,558,4.46,2.7,0.415,24
14,2019-02-01,4.75,144000,80,80,31,731,300,4.46,2.7,0.29000000000000004,10
15,2019-02-01,5.375,85000,60,63,37,715,484,4.46,2.7,0.915,23
16,2019-02-01,5.5,399000,70,70,36,634,917,4.46,2.7,1.04,4
17,2019-02-01,4.875,209000,67,67,39,749,782,4.46,2.7,0.415,45
18,2019-02-01,4.99,145000,62,62,35,812,373,4.46,2.7,0.5300000000000002,44
19,2019-02-01,4.99,197000,73,73,47,634,370,4.46,2.7,0.5300000000000002,44
20,2019-02-01,5.375,255000,79,79,40,714,565,4.46,2.7,0.915,24
21,2019-02-01,5.375,204000,80,80,27,693,212,4.46,2.7,0.915,21
22,2019-02-01,4.375,373000,74,74,26,783,606,4.46,2.7,-0.08499999999999996,15
23,2019-02-01,4.99,175000,77,77,46,693,410,4.46,2.7,0.5300000000000002,18
24,2019-02-01,4.625,152000,78,78,28,777,232,4.46,2.7,0.16500000000000006,47
25,2019-02-01,4.875,95000,48,48,25,798,212,4.46,2.7,0.415,21
26,2019-02-01,4.5,280000,65,65,16,702,530,4.46,2.7,0.040000000000000036,50
27,2019-02-01,4.99,152000,65,65,42,763,212,4.46,2.7,0.5300000000000002,21
28,2019-02-01,4.75,208000,70,70,46,689,175,4.46,2.7,0.29000000000000004,39
29,2019-02-01,4.75,250000,72,72,23,741,975,4.46,2.7,0.29000000000000004,38
30,2019-02-01,4.75,126000,40,40,50,727,760,4.46,2.7,0.29000000000000004,45
31,2019-02-01,4.875,310000,66,66,22,707,330,4.46,2.7,0.415,9
32,2019-02-01,4.875,484000,57,57,22,747,20,4.46,2.7,0.415,20
33,2019-02-01,4.75,125000,60,60,23,636,460,4.46,2.7,0.29000000000000004,16
34,2019-02-01,4.75,192000,63,63,31,774,333,4.46,2.7,0.29000000000000004,9
35,2019-02-01,5.375,256000,80,80,22,714,983,4.46,2.7,0.915,49
36,2019-02-01,4.375,473000,76,76,42,696,906,4.46,2.7,-0.08499999999999996,4
37,2019-02-01,5.375,72000,85,85,28,699,390,4.46,2.7,0.915,26
38,2019-02-01,4.99,157000,60,60,26,727,493,4.46,2.7,0.5300000000000002,23
39,2019-02-01,5.0,367000,72,72,47,685,18,4.46,2.7,0.54,20
40,2019-02-01,4.5,132000,70,70,33,696,550,4.46,2.7,0.040000000000000036,24
41,2019-02-01,5.5,150000,50,50,45,668,754,4.46,2.7,1.04,45
42,2019-02-01,5.875,156000,78,78,39,697,760,4.46,2.7,1.415,45
43,2019-02-01,5.125,109000,70,70,16,665,410,4.46,2.7,0.665,18
44,2019-02-01,4.75,173000,75,75,43,690,305,4.46,2.7,0.29000000000000004,10
45,2019-02-01,4.875,244000,77,77,29,779,483,4.46,2.7,0.415,23
46,2019-02-01,5.375,126000,68,68,37,631,296,4.46,2.7,0.915,42
47,2019-02-01,4.125,175000,50,50,41,806,913,4.46,2.7,-0.335,4
48,2019-02-01,5.25,680000,80,80,42,773,906,4.46,2.7,0.79,4
49,2019-02-01,5.25,445000,62,62,44,767,950,4.46,2.7,0.79,4
50,2019-02-01,4.875,280000,80,80,45,696,754,4.46,2.7,0.415,45
51,2019-02-01,4.999,420000,80,80,31,771,945,4.46,2.7,0.5389999999999997,4
52,2019-02-01,4.25,275000,69,69,36,763,483,4.46,2.7,-0.21,23
53,2019-02-01,4.75,460000,72,72,42,710,20,4.46,2.7,0.29000000000000004,20
54,2019-02-01,4.875,200000,80,80,49,794,210,4.46,2.7,0.415,21
55,2019-02-01,3.75,335000,77,77,45,738,325,4.46,2.7,-0.71,9
56,2019-02-01,4.25,280000,56,56,25,808,930,4.46,2.7,-0.21,4
57,2019-02-01,4.875,484000,59,78,27,733,303,4.46,2.7,0.415,10
58,2019-02-01,5.25,275000,52,52,31,631,77,4.46,2.7,0.79,32
59,2019-02-01,4.75,122000,73,73,38,804,356,4.46,2.7,0.29000000000000004,1
60,2019-02-01,4.75,585000,35,35,43,820,941,4.46,2.7,0.29000000000000004,4
61,2019-02-01,4.686,113000,41,41,38,792,491,4.46,2.7,0.226,23
62,2019-02-01,5.375,308000,70,70,43,642,917,4.46,2.7,0.915,4
63,2019-02-01,4.99,374000,80,80,45,734,761,4.46,2.7,0.5300000000000002,45
64,2019-02-01,4.875,208000,73,73,48,728,986,4.46,2.7,0.415,49
65,2019-02-01,5.875,391000,80,80,37,662,276,4.46,2.7,1.415,28
66,2019-02-01,4.75,150000,59,59,27,790,29,4.46,2.7,0.29000000000000004,41
67,2019-02-01,5.125,110000,63,63,28,664,357,4.46,2.7,0.665,1
68,2019-02-01,5.125,230000,61,61,43,647,925,4.46,2.7,0.665,4
69,2019-02-01,4.75,284000,67,67,23,817,802,4.46,2.7,0.29000000000000004,5
70,2019-02-01,4.625,484000,49,49,28,811,951,4.46,2.7,0.16500000000000006,4
71,2019-02-01,4.75,157000,50,50,30,660,802,4.46,2.7,0.29000000000000004,5
72,2019-02-01,5.25,183000,80,80,32,691,337,4.46,2.7,0.79,9
73,2019-02-01,4.375,238000,60,60,33,711,928,4.46,2.7,-0.08499999999999996,4
74,2019-02-01,4.25,420000,80,80,33,703,114,4.46,2.7,-0.21,35
75,2019-02-01,4.5,396000,80,80,34,745,786,4.46,2.7,0.040000000000000036,45
76,2019-02-01,6.375,135000,71,71,35,657,687,4.46,2.7,1.915,30
77,2019-02-01,4.75,200000,80,80,35,765,190,4.46,2.7,0.29000000000000004,39
78,2019-02-01,4.25,484000,50,50,36,716,970,4.46,2.7,-0.21,38
79,2019-02-01,4.75,131000,70,70,36,801,291,4.46,2.7,0.29000000000000004,42
