iter	Passed	Remaining
0	17	17482
1	35	17682
2	59	19897
3	88	21974
4	125	24920
5	159	26354
6	185	26380
7	215	26774
8	254	28077
9	292	28970
10	319	28769
11	346	28566
12	371	28182
13	388	27382
14	410	26954
15	450	27735
16	493	28563
17	544	29697
18	612	31626
19	627	30744
20	642	29957
21	657	29237
22	674	28631
23	699	28439
24	715	27921
25	736	27586
26	761	27447
27	790	27456
28	809	27091
29	826	26708
30	844	26392
31	858	25956
32	876	25679
33	893	25388
34	913	25195
35	936	25086
36	960	24992
37	978	24775
38	994	24510
39	1013	24328
40	1032	24150
41	1049	23932
42	1062	23645
43	1077	23409
44	1094	23226
45	1114	23113
46	1129	22898
47	1144	22707
48	1159	22501
49	1181	22456
50	1197	22281
51	1214	22141
52	1230	21987
53	1245	21827
54	1261	21674
55	1277	21541
56	1301	21525
57	1318	21408
58	1334	21285
59	1353	21201
60	1381	21259
61	1401	21201
62	1418	21102
63	1436	21008
64	1454	20924
65	1477	20902
66	1497	20851
67	1515	20777
68	1535	20720
69	1550	20595
70	1570	20550
71	1586	20444
72	1601	20336
73	1616	20233
74	1631	20122
75	1646	20011
76	1660	19902
77	1680	19869
78	1696	19778
79	1713	19702
80	1731	19646
81	1748	19578
82	1771	19567
83	1788	19506
84	1804	19420
85	1820	19343
86	1835	19263
87	1850	19174
88	1863	19078
89	1877	18982
90	1892	18902
91	1907	18822
92	1920	18734
93	1935	18656
94	1950	18579
95	1964	18500
96	1980	18437
97	1994	18359
98	2009	18286
99	2024	18218
100	2039	18157
101	2054	18090
102	2068	18017
103	2083	17948
104	2097	17881
105	2112	17812
106	2124	17732
107	2139	17668
108	2152	17597
109	2166	17528
110	2181	17473
111	2195	17408
112	2211	17357
113	2227	17312
114	2241	17252
115	2259	17216
116	2274	17168
117	2290	17123
118	2305	17070
119	2324	17047
120	2343	17026
121	2361	16997
122	2394	17073
123	2423	17121
124	2458	17211
125	2481	17213
126	2508	17246
127	2523	17188
128	2544	17178
129	2559	17128
130	2579	17109
131	2592	17049
132	2608	17003
133	2624	16963
134	2643	16938
135	2659	16898
136	2673	16838
137	2686	16782
138	2707	16773
139	2727	16752
140	2747	16737
141	2762	16691
142	2778	16654
143	2793	16604
144	2808	16558
145	2827	16540
146	2844	16506
147	2858	16455
148	2872	16408
149	2886	16359
150	2902	16320
151	2915	16267
152	2932	16231
153	2945	16182
154	2960	16138
155	2975	16095
156	2988	16047
157	3004	16011
158	3022	15988
159	3037	15944
160	3052	15906
161	3065	15857
162	3079	15812
163	3093	15767
164	3107	15726
165	3120	15680
166	3135	15642
167	3150	15601
168	3163	15554
169	3177	15513
170	3191	15474
171	3205	15432
172	3219	15392
173	3233	15348
174	3248	15316
175	3263	15279
176	3277	15241
177	3298	15232
178	3311	15188
179	3330	15170
180	3348	15152
181	3366	15130
182	3389	15130
183	3403	15094
184	3418	15060
185	3433	15027
186	3448	14991
187	3465	14966
188	3484	14952
189	3503	14933
190	3521	14914
191	3544	14915
192	3566	14914
193	3583	14889
194	3598	14853
195	3621	14855
196	3637	14827
197	3652	14795
198	3670	14772
199	3688	14755
200	3708	14741
201	3723	14707
202	3738	14679
203	3755	14655
204	3771	14625
205	3790	14609
206	3808	14589
207	3825	14565
208	3843	14547
209	3864	14537
210	3885	14528
211	3902	14506
212	3923	14495
213	3939	14468
214	3955	14440
215	3968	14403
216	3986	14385
217	4005	14368
218	4021	14341
219	4035	14308
220	4049	14273
221	4067	14254
222	4087	14240
223	4108	14233
224	4126	14214
225	4140	14179
226	4157	14157
227	4171	14125
228	4187	14099
229	4206	14083
230	4221	14054
231	4240	14037
232	4258	14019
233	4276	13999
234	4293	13976
235	4311	13956
236	4333	13950
237	4356	13948
238	4373	13925
239	4388	13896
240	4403	13867
241	4417	13837
242	4437	13823
243	4452	13795
244	4467	13766
245	4483	13741
246	4499	13718
247	4516	13695
248	4532	13669
249	4552	13657
250	4574	13649
251	4599	13652
252	4623	13650
253	4640	13628
254	4658	13610
255	4679	13599
256	4702	13595
257	4728	13599
258	4745	13575
259	4766	13565
260	4781	13539
261	4797	13512
262	4820	13508
263	4834	13478
264	4849	13449
265	4863	13421
266	4889	13422
267	4913	13419
268	4937	13417
269	4957	13403
270	4986	13413
271	5008	13405
272	5025	13382
273	5039	13352
274	5056	13331
275	5071	13303
276	5092	13292
277	5110	13272
278	5126	13247
279	5141	13221
280	5156	13193
281	5171	13166
282	5191	13154
283	5211	13137
284	5230	13121
285	5250	13108
286	5267	13086
287	5287	13071
288	5306	13056
289	5324	13034
290	5344	13022
291	5362	13001
292	5377	12976
293	5403	12976
294	5419	12951
295	5438	12934
296	5454	12910
297	5471	12889
298	5486	12863
299	5500	12835
300	5518	12814
301	5533	12790
302	5553	12774
303	5574	12761
304	5589	12735
305	5606	12714
306	5621	12689
307	5638	12667
308	5654	12645
309	5674	12630
310	5691	12609
311	5707	12586
312	5724	12565
313	5739	12540
