Number of Records,Borr Credit Score,Coborr Credit Score,First Pmt Date,Loan Identifier,Loan Purp,Mort Ins Type,Num Borrowers,Num Units,Occ Type,Orig CLTV,Orig Channel,Orig Date,Orig Debt Inc Ratio,Orig Int Rate,Orig LTV,Orig Loan Term,Orig UPB,P M Iperct,Prop State,Prop Type,Reloc Mort Ind,Seller Name,Zip Code
1,700,,3/1/2019,348337623154,R,0,1,1,P,56,R,1/1/2019,32,4.75%,56,360,201000,,AZ,SF,N,"AMERIHOME MORTGAGE COMPANY, LLC",00850
1,627,,3/1/2019,123721368817,R,0,1,1,P,50,R,1/1/2019,35,5.13%,50,360,103000,,CA,SF,N,"AMERIHOME MORTGAGE COMPANY, LLC",00932
1,703,,3/1/2019,125377091949,R,0,1,1,P,70,R,1/1/2019,48,4.99%,70,360,165000,,TN,SF,N,"AMERIHOME MORTGAGE COMPANY, LLC",00381
1,741,,4/1/2019,452101656173,R,0,1,1,P,75,R,2/1/2019,46,4.25%,75,360,125000,,VA,SF,N,"AMERIHOME MORTGAGE COMPANY, LLC",00240
1,781,,3/1/2019,168115830359,R,0,1,1,P,79,R,1/1/2019,32,4.63%,79,360,544000,,CA,SF,N,DITECH FINANCIAL LLC,00907
1,790,,3/1/2019,370372049683,R,0,1,1,P,42,R,1/1/2019,33,4.49%,42,360,134000,,NJ,SF,N,DITECH FINANCIAL LLC,00088
1,652,,3/1/2019,287086238200,R,0,1,1,P,18,R,1/1/2019,41,4.75%,9,360,227000,,CA,SF,N,DITECH FINANCIAL LLC,00902
1,812,,4/1/2019,283917629411,R,0,1,1,P,5,R,2/1/2019,6,5.63%,5,360,24000,,CA,SF,N,DITECH FINANCIAL LLC,00939
1,661,,4/1/2019,341051284268,R,0,1,1,P,36,R,2/1/2019,17,5.25%,36,360,33000,,AL,SF,N,DITECH FINANCIAL LLC,00359
1,813,,4/1/2019,359822232337,R,0,1,1,P,62,R,2/1/2019,37,5.00%,62,360,76000,,IN,SF,N,DITECH FINANCIAL LLC,00477
1,808,,4/1/2019,284720461765,R,0,1,1,P,62,R,2/1/2019,38,4.88%,62,360,94000,,MI,SF,N,DITECH FINANCIAL LLC,00488
1,649,,4/1/2019,452377390433,R,0,1,1,P,80,R,2/1/2019,41,5.38%,80,360,50000,,AR,SF,N,DITECH FINANCIAL LLC,00729
1,712,,4/1/2019,145783109014,R,0,1,1,P,52,R,2/1/2019,48,5.38%,52,360,50000,,KY,SF,N,DITECH FINANCIAL LLC,00400
1,721,,5/1/2019,460077860149,R,0,1,1,P,60,R,3/1/2019,29,4.50%,60,360,582000,,CA,SF,N,DITECH FINANCIAL LLC,00945
1,745,,5/1/2019,304455324518,R,0,1,1,P,80,R,3/1/2019,38,4.63%,80,360,146000,,FL,SF,N,DITECH FINANCIAL LLC,00344
1,660,,5/1/2019,103985068597,R,0,1,1,P,69,R,3/1/2019,49,4.99%,69,360,181000,,TX,SF,N,DITECH FINANCIAL LLC,00770
1,725,,5/1/2019,361432548679,R,0,1,1,P,62,R,3/1/2019,50,4.88%,62,360,53000,,AL,SF,N,DITECH FINANCIAL LLC,00359
1,717,,5/1/2019,165327317919,R,0,1,1,P,68,R,3/1/2019,50,4.38%,68,360,346000,,CA,SF,N,DITECH FINANCIAL LLC,00907
1,807,,2/1/2019,162081019987,R,0,1,1,P,43,R,1/1/2019,46,4.75%,43,360,213000,,WA,SF,N,"EAGLE HOME MORTGAGE, LLC",00982
1,779,,3/1/2019,366192642415,R,0,1,1,P,74,R,1/1/2019,23,4.75%,74,360,243000,,OR,SF,N,"EAGLE HOME MORTGAGE, LLC",00975
1,793,,3/1/2019,309793373239,R,0,1,1,P,46,R,1/1/2019,39,4.75%,46,360,115000,,ID,SF,N,"EAGLE HOME MORTGAGE, LLC",00837
1,762,,3/1/2019,131027163732,R,0,1,1,P,80,R,1/1/2019,21,4.75%,80,360,484000,,CA,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00953
1,659,,3/1/2019,409094946571,R,0,1,1,P,75,R,1/1/2019,34,5.38%,75,360,320000,,WI,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00530
1,715,,3/1/2019,193894585697,R,0,1,1,P,60,R,1/1/2019,36,4.88%,60,360,180000,,TX,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00751
1,755,,3/1/2019,218699267905,R,0,1,1,P,79,R,1/1/2019,37,5.13%,79,360,317000,,NJ,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00077
1,664,,3/1/2019,205467665684,R,0,1,1,P,64,R,1/1/2019,39,5.13%,64,360,105000,,AL,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00350
1,676,,3/1/2019,477498097069,R,0,1,1,P,61,R,1/1/2019,39,5.13%,61,360,210000,,IL,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00601
1,719,,3/1/2019,446215220477,R,0,1,1,P,74,R,1/1/2019,40,4.88%,74,360,148000,,PA,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00173
1,757,,3/1/2019,326870416341,R,0,1,1,P,57,R,1/1/2019,41,4.75%,57,360,234000,,WA,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00983
1,723,,3/1/2019,180973122817,R,0,1,1,P,70,R,1/1/2019,49,5.13%,70,360,692000,,CA,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00951
1,713,,3/1/2019,450327070638,R,0,1,1,P,70,R,1/1/2019,49,5.25%,70,360,164000,,FL,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00337
1,674,,3/1/2019,246833235699,R,0,1,1,P,69,R,1/1/2019,49,4.75%,69,360,270000,,MA,SF,N,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,00018
