iter	Logloss
0	0.6731569088
1	0.6565427135
2	0.6377840603
3	0.6234589583
4	0.6081640239
5	0.5926061003
6	0.5806545629
7	0.5675008443
8	0.5558164285
9	0.5456266115
10	0.5358181839
11	0.5259563952
12	0.5154877325
13	0.5057631761
14	0.4983239272
15	0.4912377838
16	0.484093209
17	0.4763511062
18	0.4705197908
19	0.4642582031
20	0.4578434431
21	0.4529002586
22	0.4467039736
23	0.442347514
24	0.4370502517
25	0.4316662842
26	0.4268264854
27	0.4235030636
28	0.4206544406
29	0.4168167474
30	0.4128940653
31	0.409916428
32	0.4061304804
33	0.4040647228
34	0.401593068
35	0.3992757239
36	0.396890182
37	0.3943211512
38	0.391099243
39	0.3886610018
40	0.386313575
41	0.3845374837
42	0.382493889
43	0.3802248501
44	0.3788902689
45	0.3772474169
46	0.3753739246
47	0.3735707524
48	0.3717264509
49	0.370444292
50	0.3686307262
51	0.3676126072
52	0.3664702789
53	0.3654414712
54	0.3642035281
55	0.3629516161
56	0.3616786338
57	0.3607531826
58	0.3597616663
59	0.3587432515
60	0.3575497722
61	0.3570662423
62	0.3563230798
63	0.3552161767
64	0.3544421537
65	0.3534379912
66	0.3523386111
67	0.3513194935
68	0.350629216
69	0.3498216311
70	0.348661105
71	0.34848424
72	0.3474962199
73	0.3467988136
74	0.3459936545
75	0.3453677047
76	0.3444898488
77	0.3438182852
78	0.3433957346
79	0.3425548897
80	0.342051258
81	0.3413911602
82	0.3410846484
83	0.3407722334
84	0.3401717813
85	0.3397756212
86	0.3391627164
87	0.3386268463
88	0.3380761761
89	0.3376514446
90	0.3372368455
91	0.3369042407
92	0.3363706408
93	0.3358299122
94	0.335330152
95	0.3346301049
96	0.3344005611
97	0.3342076682
98	0.3338788994
99	0.3335848088
100	0.3329476281
101	0.3326263234
102	0.3320243274
103	0.3317779926
104	0.3313121057
105	0.3311183591
106	0.3307679362
107	0.3305165577
108	0.330225184
109	0.3298092796
110	0.3295007365
111	0.329354523
112	0.3290668927
113	0.3288105206
114	0.3283855811
115	0.328079401
116	0.3277654339
117	0.3271534983
118	0.3269431162
119	0.3266466003
120	0.3265058764
121	0.3263358724
122	0.3261592395
123	0.3260297927
124	0.3258020611
125	0.3256260764
126	0.3254026223
127	0.3251410289
128	0.3249827475
129	0.3245401162
130	0.3244331942
131	0.3242562107
132	0.324089266
133	0.3239654154
134	0.3235647253
135	0.3234343642
136	0.323314613
137	0.3229056205
138	0.3226961556
