iter	Passed	Remaining
0	13	13202
1	25	12753
2	38	12696
3	53	13346
4	68	13662
5	84	13928
6	101	14407
7	117	14542
8	135	14866
9	152	15123
10	169	15250
11	186	15350
12	202	15389
13	226	15928
14	242	15897
15	256	15759
16	271	15679
17	284	15510
18	300	15521
19	317	15540
20	334	15602
21	357	15894
22	375	15965
23	396	16124
24	419	16373
25	437	16396
26	454	16371
27	476	16549
28	497	16642
29	516	16694
30	540	16885
31	564	17061
32	587	17223
33	609	17303
34	631	17412
35	652	17482
36	672	17512
37	694	17588
38	716	17647
39	734	17617
40	750	17561
41	770	17566
42	786	17512
43	804	17473
44	822	17449
45	837	17368
46	852	17290
47	867	17199
48	882	17129
49	896	17033
50	911	16970
51	930	16969
52	949	16974
53	965	16909
54	984	16917
55	1000	16859
56	1020	16880
57	1034	16796
58	1048	16724
59	1069	16748
60	1085	16714
61	1104	16709
62	1120	16669
63	1138	16656
64	1160	16699
65	1181	16720
66	1198	16695
67	1222	16759
68	1241	16746
69	1259	16739
70	1275	16689
71	1284	16561
72	1299	16502
73	1317	16490
74	1338	16512
75	1359	16530
76	1381	16565
77	1397	16519
78	1420	16562
79	1439	16550
80	1454	16502
81	1468	16437
82	1485	16408
83	1500	16366
84	1515	16319
85	1536	16328
86	1553	16307
87	1570	16272
88	1588	16256
89	1603	16217
90	1618	16168
91	1634	16133
92	1651	16106
93	1666	16062
94	1682	16028
95	1703	16045
96	1723	16044
97	1743	16046
98	1760	16025
99	1774	15971
100	1801	16037
101	1818	16009
102	1834	15972
103	1849	15933
104	1866	15909
105	1881	15866
106	1898	15842
107	1915	15824
108	1937	15835
109	1952	15794
110	1969	15769
111	1993	15806
112	2013	15801
113	2028	15763
114	2045	15738
115	2061	15708
116	2076	15674
117	2093	15650
118	2115	15660
119	2132	15639
120	2150	15623
121	2169	15612
122	2188	15601
123	2205	15578
124	2223	15562
125	2237	15523
126	2254	15498
127	2270	15464
128	2284	15424
129	2299	15391
130	2317	15371
131	2336	15361
132	2354	15350
133	2372	15329
134	2393	15333
135	2414	15339
136	2429	15301
137	2444	15271
138	2458	15231
139	2475	15207
140	2495	15205
141	2516	15206
142	2538	15210
143	2556	15196
144	2578	15205
145	2600	15209
146	2615	15176
147	2635	15171
148	2654	15158
149	2669	15127
150	2687	15111
151	2711	15125
152	2730	15116
153	2750	15107
154	2765	15077
155	2785	15072
156	2800	15038
157	2818	15017
158	2831	14975
159	2846	14942
160	2861	14912
161	2877	14883
162	2895	14865
163	2912	14846
164	2928	14821
165	2945	14798
166	2960	14766
167	2979	14756
168	2998	14742
169	3016	14727
170	3035	14718
171	3054	14703
172	3069	14672
173	3084	14644
174	3106	14645
175	3124	14626
176	3142	14610
177	3158	14587
178	3180	14589
179	3196	14562
180	3211	14530
181	3226	14502
182	3243	14479
183	3259	14453
184	3275	14428
185	3292	14409
186	3310	14392
187	3330	14383
188	3347	14365
189	3361	14328
190	3379	14312
191	3396	14295
192	3411	14264
193	3424	14229
194	3439	14197
195	3455	14176
196	3471	14148
197	3493	14149
198	3513	14141
199	3530	14123
200	3548	14105
201	3564	14083
202	3580	14056
203	3594	14026
204	3608	13993
205	3623	13967
206	3638	13939
207	3654	13914
208	3673	13904
209	3697	13910
210	3716	13896
211	3731	13870
212	3751	13862
213	3772	13855
214	3787	13827
215	3800	13795
216	3815	13768
217	3833	13750
218	3849	13729
219	3867	13710
220	3884	13692
221	3905	13686
222	3921	13664
223	3937	13641
224	3955	13623
225	3973	13607
226	3990	13587
227	4007	13569
228	4021	13539
229	4044	13541
